DEPTH,ROP,RPM,SWOB,TQA,HKLD,GRR
942.289,255.891792,140.8,2.630835746,5.92492443420822,95.6535589856,
942.442,256.51968,140.0,2.6580512882,5.99271533162479,95.662630833,40.96
942.463,,,,,,
942.594,256.507488,140.0,2.6081561275,5.92492443420822,95.6717026804,
942.746,256.236216,140.0,2.7124823726,5.72155174195851,95.6762386041,
942.82,,,,,,
942.899,255.824736,140.0,2.7170182963,5.64020266505863,95.6807745278,40.96
943.051,255.897888,140.0,2.5990842801,5.55885358815874,95.7760289255,
943.173,,,,,,
943.204,256.035048,140.0,2.5673328142,5.55885358815874,95.7760289255,44.8
943.356,256.105152,140.0,3.0889640397,5.43682997280892,95.6535589856,
943.508,256.12344,140.0,2.9710300235,5.88424989575828,95.6853104515,32.64
943.563,,,,,,
943.661,255.516888,140.25,3.0889640397,6.27743710077438,95.6444871382,
943.813,256.925064,141.0,3.0617484975,6.31811163922433,95.6762386041,
943.923,,,,,,
943.966,257.14452,140.6,2.7805212281,6.04694804955805,95.6399512145,39.68
944.118,256.342896,140.0,2.7124823726,5.72155174195851,95.6580949093,
944.27,256.61112,140.0,2.8712397021,5.57241176764206,95.6127356723,42.88
944.313,,,,,,
944.423,256.007616,140.0,2.7306260674,5.57241176764206,95.6036638249,
944.575,255.733296,140.75,2.7850571518,5.50462087022549,95.5764482827,
944.667,,,,,,
944.728,255.651,141.0,2.6943386778,5.45038815229223,95.6535589856,41.6
944.88,256.513584,141.0,2.7714493807,5.53173722919211,95.6263434434,
945.023,,,,,,
945.032,256.80924,141.0,2.8848474732,5.55885358815874,95.5991279012,
945.185,256.114296,141.0,2.9664940998,5.68087720350857,95.5537686642,44.8
945.337,255.974088,141.0,3.0572125738,5.74866810092514,95.5945919775,
945.38,,,,,,
945.49,255.891792,140.2,2.9347426339,5.96559897265816,95.5855201301,
945.642,257.077464,140.0,3.1570028952,6.01983169059142,95.6218075197,44.16
945.773,,,,,,
945.794,256.562352,140.0,3.1252514293,5.81645899834171,95.5764482827,
945.947,256.446528,140.0,3.2794728351,5.66731902402525,95.4721220376,
946.099,256.300224,140.2,2.8757756258,5.57241176764206,95.5900560538,
946.127,,,,,,
946.252,255.897888,141.0,2.8621678547,5.84357535730834,95.4857298087,44.16
946.404,256.446528,140.75,2.8530960073,6.20964620335781,95.571912359,42.24
946.483,,,,,,
946.556,256.166112,140.0,2.7260901437,6.39946071612421,95.5764482827,
946.709,257.135376,141.0,2.7442338385,6.45369343405747,95.5220171983,39.04
946.861,256.85496,141.0,2.6807309067,6.35878617767427,95.526553122,37.76
947.014,256.394712,141.0,2.6126920512,6.35878617767427,95.5401608931,39.09
947.166,255.98628,141.0,3.0436048027,6.49436797250741,95.5129453509,38.83
947.196,,,,,,
