DEPTH,PHIF,SW,VSH,KLOGH
3710.94,0.104737,0.7619,0.787115,0.0
3711.0924,0.102161,0.7637,0.785527,0.0
3711.2448,0.116609,0.6919,0.792262,0.0
3711.3972,0.107027,0.7481,0.798997,0.0
3711.5496,0.098957,0.807,0.796326,0.0
3711.702,0.110706,0.748,0.793654,0.0
3711.8544,0.097365,0.8116,0.790983,0.0
3712.0068,0.1107,0.7221,0.788312,0.0
3712.1592,0.111288,0.7063,0.785641,0.0
3712.3116,0.114503,0.6893,0.78297,0.0
3712.464,0.100593,0.7603,0.780298,0.0
3712.6164,0.100002,0.7618,0.777627,0.0
3712.7688,0.091432,0.8031,0.774956,0.0
3712.9212,0.102108,0.7265,0.772285,0.0
3713.0736,0.129997,0.5948,0.769613,0.0
3713.226,0.098512,0.709,0.766942,0.0
3713.3784,0.098387,0.6939,0.764271,0.0
3713.5308,0.082322,0.7883,0.731313,0.0
3713.6832,0.086007,0.7808,0.727347,0.0
3713.8356,0.097803,0.7354,0.670033,0.0
3713.988,0.102134,0.7284,0.745374,0.0
3714.1404,0.117681,0.6526,0.786755,0.0
3714.2928,0.122562,0.6105,0.788767,0.0
3714.4452,0.126329,0.5612,0.790779,0.0
3714.5976,0.147229,0.4672,0.79279,0.0
3714.75,0.160164,0.4216,0.780151,0.0
3714.9024,0.157538,0.4361,0.774797,0.0
3715.0548,0.155385,0.4656,0.769443,0.0
3715.2072,0.123781,0.5679,0.762003,0.0
3715.3596,0.124727,0.5501,0.754563,0.0
