DEPTH,GR,RT,RHOB,NPHI,PEF
2875.6,4.4855,2.8094,,,
2875.7,5.5624,2.757,,,
2875.8,6.6535,2.7002,,,
2875.9,6.289,2.6745,,,
2876.0,6.3754,2.634,,,
2876.1,5.2413,2.5737,,,
2876.2,4.787,2.5312,,,
2876.3,3.586,2.5102,,,
2876.4,4.4276,2.489,,,
2876.5,4.0392,2.4916,,,
2876.6,4.3172,2.5037,,,
2876.7,4.0616,2.5176,,,
2876.8,4.0323,2.5046,,,
2876.9,3.431,2.4346,,,
2877.0,4.6333,2.3252,,,
2877.1,5.5139,2.1845,,,
2877.2,5.3996,2.0753,,,
2877.3,4.9532,1.9904,,,
2877.4,4.5887,1.9748,,,
2877.5,4.5153,1.9177,,,
2877.6,4.0299,1.8423,,,
2877.7,4.7297,1.8387,,,
2877.8,4.7191,1.912,,,
