DEPTH,GR,RT,RHOB,NPHI,DTS
3134.9,7.083,4.416,2.575,0.091,117.859
3135.0,7.184,4.416,2.575,0.092,118.718
3135.1,7.622,4.431,2.573,0.094,118.973
3135.2,7.969,4.441,2.571,0.096,119.341
3135.3,8.09,4.475,2.569,0.098,120.433
3135.4,8.182,4.489,2.568,0.098,121.19
3135.5,8.096,4.493,2.566,0.096,121.752
3135.6,7.846,4.461,2.562,0.098,122.029
3135.7,8.539,4.446,2.557,0.099,122.215
3135.8,8.304,4.39,2.553,0.102,122.447
3135.9,7.886,4.321,2.55,0.105,123.085
3136.0,7.965,4.267,2.549,0.11,123.921
3136.1,8.069,4.17,2.547,0.11,124.779
3136.2,7.297,4.071,2.544,0.114,125.077
3136.3,6.629,3.941,2.538,0.114,125.306
3136.4,6.281,3.793,2.53,0.116,125.491
3136.5,6.288,3.571,2.523,0.118,125.703
3136.6,6.358,3.402,2.519,0.12,125.84
3136.7,5.706,3.247,2.519,0.12,125.911
3136.8,5.71,3.129,2.519,0.123,125.804
3136.9,6.119,3.051,2.52,0.124,125.434
3137.0,6.138,2.986,2.519,0.124,124.808
3137.1,7.455,3.005,2.517,0.125,124.257
3137.2,7.295,2.956,2.513,0.123,123.587
3137.3,7.174,2.952,2.509,0.123,122.776
3137.4,7.409,2.952,2.506,0.124,122.423
3137.5,7.662,2.974,2.504,0.124,121.747
3137.6,7.683,3.005,2.504,0.125,120.56
3137.7,7.296,3.052,2.506,0.125,120.332
3137.8,6.607,3.076,2.509,0.126,119.916
3137.9,6.64,3.124,2.511,0.124,118.957
3138.0,7.085,3.191,2.512,0.123,118.973
3138.1,6.802,3.246,2.511,0.124,119.027
3138.2,6.59,3.299,2.51,0.123,118.761
3138.3,6.047,3.334,2.509,0.12,118.83
3138.4,6.678,3.384,2.509,0.115,119.137
3138.5,7.454,3.431,2.512,0.116,119.854
3138.6,7.055,3.452,2.517,0.114,120.888
3138.7,6.517,3.51,2.523,0.112,121.917
3138.8,6.126,3.584,2.527,0.111,122.535
3138.9,5.769,3.67,2.529,0.106,122.904
3139.0,5.717,3.747,2.532,0.104,123.174
3139.1,5.731,3.79,2.537,0.102,123.495
3139.2,5.464,3.825,2.542,0.102,123.722
3139.3,5.545,3.845,2.545,0.101,123.851
3139.4,5.166,3.843,2.545,0.1,123.648
3139.5,5.149,3.852,2.545,0.097,123.285
3139.6,5.524,3.898,2.547,0.1,122.798
3139.7,5.425,3.932,2.552,0.101,122.113
3139.8,4.904,3.955,2.558,0.099,121.4
3139.9,4.159,3.996,2.565,0.096,120.669
3140.0,3.419,4.028,2.569,0.091,120.092
3140.1,3.334,3.983,2.571,0.088,119.311
3140.2,3.737,3.951,2.572,0.087,118.327
3140.3,4.2,3.925,2.572,0.086,117.456
3140.4,4.429,3.922,2.57,0.089,116.591
3140.5,4.521,3.952,2.566,0.094,115.732
3140.6,5.304,4.008,2.562,0.096,115.066
3140.7,5.774,4.045,2.556,0.098,114.416
3140.8,6.209,4.058,2.551,0.098,113.766
3140.9,6.399,4.067,2.55,0.097,113.025
3141.0,5.773,4.083,2.555,0.1,112.305
3141.1,6.217,4.112,2.561,0.097,111.645
3141.2,6.264,4.138,2.564,0.097,111.374
3141.3,6.327,4.154,2.566,0.097,111.684
3141.4,6.375,4.16,2.565,0.096,113.111
3141.5,6.343,4.155,2.562,0.093,114.706
3141.6,6.76,4.157,2.556,0.092,116.277
3141.7,6.749,4.157,2.553,0.093,117.655
3141.8,6.509,4.177,2.552,0.095,118.505
3141.9,7.01,4.176,2.551,0.1,119.081
3142.0,6.962,4.163,2.55,0.101,119.337
3142.1,6.474,4.143,2.549,0.101,119.579
3142.2,7.007,4.142,2.548,0.1,119.782
3142.3,6.912,4.142,2.55,0.099,119.83
3142.4,6.287,4.148,2.553,0.097,119.75
3142.5,7.028,4.131,2.556,0.097,119.574
3142.6,6.601,4.096,2.558,0.098,119.214
3142.7,6.217,4.061,2.557,0.1,118.522
3142.8,4.996,4.043,2.556,0.102,117.621
3142.9,5.15,4.057,2.556,0.102,116.935
3143.0,5.622,4.085,2.555,0.102,116.439
3143.1,6.091,4.08,2.553,0.102,116.11
3143.2,5.829,4.048,2.55,0.102,116.221
3143.3,5.72,4.018,2.547,0.101,116.256
3143.4,5.976,3.976,2.547,0.102,116.216
3143.5,6.008,3.939,2.549,0.101,116.487
3143.6,5.807,3.906,2.552,0.101,116.434
3143.7,5.605,3.902,2.55,0.102,115.978
3143.8,5.005,3.908,2.544,0.101,115.964
3143.9,4.556,3.906,2.536,0.103,115.922
3144.0,4.511,3.863,2.529,0.104,115.79
3144.1,4.425,3.781,2.527,0.106,116.768
3144.2,4.479,3.719,2.529,0.106,117.702
3144.3,4.129,3.63,2.531,0.106,118.281
3144.4,3.875,3.57,2.531,0.11,119.314
3144.5,3.656,3.525,2.527,0.109,120.207
3144.6,4.356,3.505,2.521,0.11,120.579
3144.7,4.554,3.472,2.515,0.114,120.683
3144.8,4.323,3.431,2.512,0.114,120.681
3144.9,4.81,3.395,2.512,0.118,120.591
3145.0,5.389,3.358,2.512,0.118,120.718
3145.1,5.414,3.295,2.514,0.118,120.973
3145.2,5.103,3.252,2.517,0.118,121.409
3145.3,4.864,3.206,2.518,0.117,121.749
3145.4,5.048,3.197,2.518,0.115,122.078
3145.5,5.27,3.181,2.514,0.118,122.578
3145.6,5.178,3.148,2.51,0.115,123.104
3145.7,5.614,3.107,2.507,0.114,123.637
3145.8,5.846,3.085,2.505,0.113,124.108
3145.9,6.324,3.049,2.507,0.115,124.398
3146.0,6.196,3.052,2.513,0.118,124.531
3146.1,6.752,3.039,2.519,0.12,124.233
3146.2,6.818,3.017,2.524,0.12,123.825
3146.3,6.567,2.974,2.526,0.12,123.336
3146.4,6.458,2.952,2.525,0.118,123.366
3146.5,6.388,2.957,2.525,0.117,123.573
3146.6,6.299,2.961,2.526,0.117,123.96
3146.7,6.938,2.961,2.529,0.117,124.101
3146.8,7.629,2.956,2.531,0.117,124.319
3146.9,7.913,2.942,2.533,0.118,124.643
3147.0,8.051,2.94,2.534,0.119,124.664
3147.1,7.881,2.935,2.534,0.12,124.744
3147.2,7.941,2.936,2.534,0.12,124.949
3147.3,8.516,2.944,2.534,0.12,125.259
3147.4,9.281,2.941,2.535,0.121,125.581
3147.5,9.024,2.953,2.536,0.122,125.899
3147.6,9.181,2.961,2.536,0.121,126.385
3147.7,9.286,2.973,2.534,0.12,126.745
3147.8,9.522,2.984,2.531,0.118,126.733
3147.9,9.209,2.997,2.529,0.116,126.823
3148.0,9.129,3.01,2.529,0.117,126.902
3148.1,9.136,3.021,2.533,0.119,126.863
3148.2,8.43,3.031,2.537,0.121,126.76
3148.3,7.977,3.042,2.539,0.123,126.722
3148.4,8.06,3.051,2.539,0.124,127.023
3148.5,9.127,3.053,2.538,0.122,127.273
3148.6,9.153,3.049,2.54,0.121,127.535
3148.7,8.568,3.053,2.541,0.115,127.988
3148.8,8.661,3.048,2.54,0.116,128.334
3148.9,9.043,3.05,2.535,0.117,128.588
3149.0,9.426,3.055,2.531,0.119,128.592
3149.1,9.858,3.049,2.53,0.118,128.495
3149.2,9.844,3.039,2.533,0.118,128.321
3149.3,9.344,3.049,2.536,0.117,128.04
3149.4,9.969,3.051,2.538,0.117,127.669
3149.5,10.58,3.035,2.537,0.116,127.221
3149.6,10.475,3.021,2.534,0.116,126.715
3149.7,10.034,3.007,2.53,0.116,126.08
3149.8,9.592,2.997,2.529,0.116,125.312
3149.9,9.449,2.972,2.529,0.117,125.34
3150.0,9.246,2.961,2.531,0.117,125.305
3150.1,8.321,2.943,2.532,0.118,125.157
3150.2,8.36,2.938,2.532,0.119,125.217
3150.3,8.726,2.95,2.531,0.119,125.178
3150.4,8.574,2.963,2.531,0.12,124.958
3150.5,8.69,2.968,2.53,0.12,125.069
3150.6,8.581,2.972,2.529,0.121,125.351
3150.7,8.803,2.949,2.525,0.121,125.861
3150.8,8.44,2.895,2.521,0.124,126.181
3150.9,8.461,2.861,2.516,0.125,126.334
3151.0,8.495,2.847,2.514,0.127,126.194
3151.1,8.07,2.809,2.513,0.128,125.773
3151.2,8.206,2.782,2.512,0.129,125.345
3151.3,8.328,2.759,2.511,0.13,125.136
3151.4,8.845,2.751,2.51,0.131,124.999
3151.5,9.297,2.771,2.51,0.128,124.952
3151.6,9.343,2.8,2.511,0.127,125.155
3151.7,9.45,2.817,2.514,0.126,125.255
3151.8,9.18,2.838,2.518,0.126,125.373
3151.9,9.376,2.845,2.525,0.127,125.848
3152.0,9.606,2.841,2.532,0.126,126.253
3152.1,10.359,2.862,2.535,0.123,126.59
3152.2,10.585,2.874,2.534,0.119,126.692
3152.3,10.473,2.893,2.532,0.118,126.766
3152.4,10.631,2.923,2.53,0.119,126.811
3152.5,10.389,2.97,2.531,0.118,126.745
3152.6,10.331,3.018,2.533,0.118,127.03
3152.7,10.546,3.023,2.534,0.118,127.616
