DEPTH,GR,RT,RHOB,NPHI,DT
3040.6848,39.7830009,4.72079992,2.3670001,0.1026,65.5288009
3040.8372,41.9798011,4.59030008,2.36080002,0.1048,65.1815032
3040.9896,39.7830009,4.31589984,2.29839992,0.10649999,66.7785034
3041.142,37.6764984,4.15170001,2.3197999,0.0987,68.9520034
3041.2944,36.5630989,4.14429998,2.34570002,0.0894,63.4328994
3041.4468,34.3362007,4.26870012,2.4217,0.08429999,65.7209014
3041.5992,32.1394004,4.33909988,2.41339993,0.08649999,67.384201
3041.7516,31.3568992,4.23640012,2.4138,0.09019999,68.587799
3041.904,36.5931015,4.3407998,2.45029997,0.0925,66.2886962
3042.0564,39.8130989,4.00169992,2.43939995,0.09109999,68.7145996
3042.2088,42.5214996,3.96440005,2.44939994,0.0925,72.5950012
3042.3612,39.0005989,4.12349987,2.4223001,0.08969999,68.5466003
3042.5136,36.8639984,4.23699998,2.40089988,0.0859,63.5149002
3042.666,35.2389984,4.48439979,2.39829993,0.0789,62.0155982
3042.8184,36.1417999,4.70429992,2.42600011,0.0772,60.1808013
3042.9708,35.9612007,4.90609979,2.42860007,0.07329999,64.1141967
3043.1232,33.3731994,5.03189992,2.467,0.07119999,64.6960983
3043.2756,31.0559997,5.09849977,2.4065001,0.06539999,69.8410034
3043.428,29.7318992,5.22770023,2.38039994,0.0635,69.8975982
3043.5804,31.2366008,5.28149986,2.29710006,0.0635,64.981697
3043.7328,34.2458992,5.25880002,2.32990002,0.06369999,66.7667999
3043.8852,35.7504997,5.38670015,2.34859991,0.06199999,74.9085006
3044.0376,33.5236015,5.3972001,2.35529994,0.0603,67.4511032
3044.19,32.019001,5.89919996,2.39019989,0.06239999,64.8949966
3044.3424,33.2226982,5.87830018,2.4367001,0.0648,65.9695968
3044.4948,37.0444984,5.65040016,2.51659989,0.06319999,64.9254989
3044.6472,38.3386001,5.75649976,2.48779988,0.0625,62.2434997
3044.7996,36.5330009,5.88710021,2.46659994,0.0612,62.999401
3044.952,37.2251014,6.10960006,2.50250005,0.06049999,64.2611007
3045.1044,35.3292007,6.06409978,2.47909998,0.0577,64.6678009
3045.2568,36.9542999,6.18149995,2.45040011,0.0557,62.5551986
3045.4092,35.6603012,6.2104001,2.38910007,0.0548,63.7731018
3045.5616,37.7667999,6.20459985,2.37400007,0.05469999,62.0838012
3045.714,36.3524017,6.19059991,2.40109992,0.05559999,65.0587997
